City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,65,ZA,1669846783,81,-34.5322,20.0403,63.12,2.44
Kruisfontein,8,ZA,1669846573,72,-34.0033,24.7314,64.89,4.54
Port Hardy,66,CA,1669846518,75,50.6996,-127.4199,27.99,14.38
Port Alfred,100,ZA,1669846559,94,-33.5906,26.891,66.18,1.01
Båtsfjord,75,NO,1669846784,86,70.6345,29.7185,31.78,9.22
Vaini,75,TO,1669846784,83,-21.2,-175.2,78.96,11.5
Taoudenni,0,ML,1669846784,19,22.6783,-3.9836,66.52,10.33
Atuona,65,PF,1669846532,74,-9.8,-139.0333,77.92,15.14
Chui,8,UY,1669846784,85,-33.6971,-53.4616,70.88,16.11
Dingle,99,PH,1669846785,93,10.9995,122.6711,75.74,8.37
Rikitea,85,PF,1669846785,71,-23.1203,-134.9692,72.95,12.46
New Norfolk,6,AU,1669846785,49,-42.7826,147.0587,56.71,1.01
Jamestown,100,US,1669846596,70,42.097,-79.2353,31.17,24.16
Fairbanks,100,US,1669846786,78,64.8378,-147.7164,4.23,0.0
Alyangula,95,AU,1669846786,68,-13.8483,136.4192,82.96,6.24
Ciudad Bolivar,79,VE,1669846786,57,8.1222,-63.5497,82.94,10.71
Punta Arenas,75,CL,1669846787,50,-53.15,-70.9167,51.91,34.52
Albany,100,US,1669846623,85,42.6001,-73.9662,51.58,5.99
Chokurdakh,100,RU,1669846787,97,70.6333,147.9167,-0.36,9.46
Kayerkan,100,RU,1669846787,99,69.3497,87.7602,-2.94,2.55
Mataura,76,NZ,1669846788,56,-46.1927,168.8643,50.49,9.24
Merauke,100,ID,1669846788,87,-8.4667,140.3333,78.17,11.18
Lagoa,3,PT,1669846788,75,39.05,-27.9833,61.9,8.08
East London,100,ZA,1669846788,90,-33.0153,27.9116,72.1,11.88
Ushuaia,40,AR,1669846715,57,-54.8,-68.3,51.42,23.02
Hobart,75,AU,1669846789,58,-42.8794,147.3294,57.06,12.66
